# ملف مثال لقائمة الكتب المراد استخراجها
# Example book list file
# 
# يمكن أن يحتوي هذا الملف على:
# - معرفات الكتب (أرقام فقط)
# - روابط كاملة للكتب
# - تعليقات (تبدأ بـ #)
#
# تنسيقات مدعومة:
# 12345
# https://shamela.ws/book/12345
# https://shamela.ws/book/12345/1

# كتب الحديث
7323    # صحيح البخاري
7325    # صحيح مسلم
7327    # سنن أبي داود
7329    # جامع الترمذي
7331    # سنن النسائي
7333    # سنن ابن ماجه

# كتب الفقه
https://shamela.ws/book/8792    # المغني لابن قدامة
https://shamela.ws/book/8793    # الأم للشافعي
https://shamela.ws/book/8794    # المدونة للإمام مالك

# كتب التفسير
23456   # تفسير الطبري
23457   # تفسير ابن كثير
23458   # تفسير القرطبي

# كتب اللغة والأدب
34567   # لسان العرب
34568   # الصحاح في اللغة
34569   # مقاييس اللغة

# كتب التاريخ
45678   # تاريخ الطبري
45679   # البداية والنهاية
45680   # سير أعلام النبلاء

# ملاحظات:
# - يتم تجاهل الأسطر الفارغة
# - يتم تجاهل الأسطر التي تبدأ بـ #
# - يمكن إضافة تعليقات في نهاية السطر بعد المعرف
# - السكربت يستخرج المعرف تلقائياً من الروابط
